gene,positive_n,negative_n,positive_mean_z,negative_mean_z,delta_z,mw_p,bh_fdr,by_fdr,holm_fwer
KRTAP10-4,11,99,-0.6897181818181817,-0.6010060606060604,-0.08871212121212124,0.6281259928839308,0.8699795779786241,1.0,1.0
DNAJC22,11,99,-0.3868727272727273,-0.2790161616161616,-0.1078565656565657,0.6284961047796657,0.8702242176018706,1.0,1.0
FAM9A,11,99,-0.4819727272727273,-0.4563606060606061,-0.025612121212121197,0.6285000289432429,0.8702242176018706,1.0,1.0
MIR548XHG,11,99,-0.38007272727272723,-0.23478484848484849,-0.14528787878787874,0.6286370318142742,0.8702242176018706,1.0,1.0
HHIPL1,11,99,-0.11380909090909092,-0.08725353535353533,-0.026555555555555582,0.6287574575603134,0.8702242176018706,1.0,1.0
CELA3B,11,99,-0.5572454545454545,-0.46282020202020213,-0.09442525252525236,0.6287804578402634,0.8702242176018706,1.0,1.0
HEYL,11,99,-0.32191818181818177,0.060582828282828294,-0.38250101010101006,0.6289284851352746,0.8702242176018706,1.0,1.0
PCED1B-AS1,11,99,0.3286272727272727,0.07503737373737375,0.253589898989899,0.6289284851352746,0.8702242176018706,1.0,1.0
ZNF737,11,99,0.21952727272727274,0.0010626262626262488,0.2184646464646465,0.6289284851352746,0.8702242176018706,1.0,1.0
EXOSC1,11,99,-0.2657818181818181,-0.04700909090909092,-0.2187727272727272,0.628929258479983,0.8702242176018706,1.0,1.0
ZNF45,11,99,0.27782727272727276,0.08591818181818182,0.19190909090909092,0.628929258479983,0.8702242176018706,1.0,1.0
CATSPER4,11,99,-0.31085454545454544,-0.24488080808080803,-0.0659737373737374,0.6289294680460212,0.8702242176018706,1.0,1.0
GOLGA6B,11,99,-0.3810181818181819,-0.26598282828282827,-0.11503535353535366,0.6290805190636001,0.8702242176018706,1.0,1.0
LINC00668,11,99,-0.4731727272727273,-0.42608080808080795,-0.04709191919191935,0.6293402022195508,0.8702242176018706,1.0,1.0
HOXB7,11,99,-0.36840000000000006,-0.2760818181818181,-0.09231818181818197,0.6296353869832465,0.8702242176018706,1.0,1.0
ANKRD20A5P,11,99,-0.5066272727272727,-0.42825757575757567,-0.07836969696969703,0.6298397838861514,0.8702242176018706,1.0,1.0
UBE2Q2P2,11,99,-0.21901818181818175,-0.16103131313131314,-0.057986868686868615,0.6299278648186633,0.8702242176018706,1.0,1.0
KCTD8,11,99,-0.8343363636363637,-0.7185848484848486,-0.11575151515151505,0.6299548741624116,0.8702242176018706,1.0,1.0
EPPIN,11,99,-0.659409090909091,-0.5847020202020202,-0.07470707070707072,0.6299571752775763,0.8702242176018706,1.0,1.0
C8orf22,11,99,-0.5390818181818182,-0.49275151515151516,-0.046330303030303055,0.6299571752775763,0.8702242176018706,1.0,1.0
PATE3,11,99,-0.7354545454545455,-0.6408383838383838,-0.09461616161616171,0.6299571752775763,0.8702242176018706,1.0,1.0
LINC02466,11,99,-0.6822818181818181,-0.6100828282828281,-0.07219898989898998,0.6299571752775763,0.8702242176018706,1.0,1.0
